Table Names;lat;lon;microtesla
faltante.txt;-1.012281;-79.4687255;31.195508482
faltante.txt;-1.0122665;-79.4686724;31.341698946
faltante.txt;-1.0122521;-79.4686192;31.483732321
faltante.txt;-1.0122376;-79.4685661;31.621619607
faltante.txt;-1.0122232;-79.4685129;31.755371804
faltante.txt;-1.0122087;-79.4684598;31.884999911
faltante.txt;-1.0121943;-79.4684066;32.010514929
faltante.txt;-1.0121798;-79.4683535;32.131927857
faltante.txt;-1.0121654;-79.4683003;32.249249696
faltante.txt;-1.0121509;-79.4682472;32.362491446
faltante.txt;-1.0121365;-79.468194;32.471664107
faltante.txt;-1.012122;-79.4681409;32.576778679
faltante.txt;-1.0121076;-79.4680877;32.677846161
faltante.txt;-1.0120931;-79.4680346;32.774877554
faltante.txt;-1.0120787;-79.4679814;32.867883857
faltante.txt;-1.0120642;-79.4679283;32.956876071
faltante.txt;-1.0120498;-79.4678751;33.041865196
faltante.txt;-1.0120353;-79.467822;33.122862232
faltante.txt;-1.0120209;-79.4677688;33.199878179
faltante.txt;-1.0120064;-79.4677157;33.272924036
faltante.txt;-1.011992;-79.4676625;33.342010804
faltante.txt;-1.0119775;-79.4676094;33.407149482
faltante.txt;-1.0119631;-79.4675562;33.468351071
faltante.txt;-1.0119486;-79.4675031;33.525626571
faltante.txt;-1.0119342;-79.4674499;33.578986982
faltante.txt;-1.0119197;-79.4673968;33.628443304
faltante.txt;-1.0119053;-79.4673436;33.674006536
faltante.txt;-1.0118908;-79.4672905;33.715687679
faltante.txt;-1.0118764;-79.4672373;33.753497732
faltante.txt;-1.0118619;-79.4671842;33.787447696
faltante.txt;-1.0118475;-79.467131;33.817548571
faltante.txt;-1.011833;-79.4670779;33.843811357
faltante.txt;-1.0118186;-79.4670247;33.866247054
faltante.txt;-1.0118041;-79.4669716;33.884866661
faltante.txt;-1.0117897;-79.4669184;33.899681179
faltante.txt;-1.0117752;-79.4668653;33.910701607
faltante.txt;-1.0117608;-79.4668121;33.917938946
faltante.txt;-1.0117463;-79.466759;33.921404196
faltante.txt;-1.0117319;-79.4667058;33.921108357
faltante.txt;-1.0117174;-79.4666527;33.917062429
faltante.txt;-1.011703;-79.4665995;33.909277411
faltante.txt;-1.0116885;-79.4665464;33.897764304
faltante.txt;-1.0116741;-79.4664932;33.882534107
faltante.txt;-1.0116596;-79.4664401;33.863597821
faltante.txt;-1.0116452;-79.4663869;33.840966446
faltante.txt;-1.0116307;-79.4663338;33.814650982
faltante.txt;-1.0116163;-79.4662806;33.784662429
faltante.txt;-1.0116018;-79.4662275;33.751011786
faltante.txt;-1.0115874;-79.4661743;33.713710054
faltante.txt;-1.0115729;-79.4661212;33.672768232
faltante.txt;-1.0115585;-79.466068;33.628197321
faltante.txt;-1.011544;-79.4660149;33.580008321
faltante.txt;-1.0115296;-79.4659617;33.528212232
faltante.txt;-1.0115151;-79.4659086;33.472820054
faltante.txt;-1.0115007;-79.4658554;33.413842786
faltante.txt;-1.0114862;-79.4658023;33.351291429
faltante.txt;-1.0114718;-79.4657491;33.285176982
faltante.txt;-1.0114573;-79.465696;33.215510446
faltante.txt;-1.0114429;-79.4656428;33.142302821
faltante.txt;-1.0114284;-79.4655897;33.065565107
faltante.txt;-1.011414;-79.4655365;32.985308304
faltante.txt;-1.0113995;-79.4654834;32.901543411
faltante.txt;-1.0113851;-79.4654302;32.814281429
faltante.txt;-1.0113706;-79.4653771;32.723533357
faltante.txt;-1.0113562;-79.4653239;32.629310196
faltante.txt;-1.0113417;-79.4652708;32.531622946
faltante.txt;-1.0113273;-79.4652176;32.430482607
faltante.txt;-1.0113128;-79.4651645;32.325900179
faltante.txt;-1.0112984;-79.4651113;32.217886661
faltante.txt;-1.0112839;-79.4650582;32.106453054
faltante.txt;-1.0112695;-79.465005;31.991610357
faltante.txt;-1.011255;-79.4649519;31.873369571
faltante.txt;-1.0112406;-79.4648987;31.751741696
faltante.txt;-1.0112261;-79.4648456;31.626737732
faltante.txt;-1.0112117;-79.4647924;31.498368679
faltante.txt;-1.0111972;-79.4647393;31.366645536
faltante.txt;-1.0111828;-79.4646861;31.231579304
faltante.txt;-1.0111683;-79.464633;31.093180982
faltante.txt;-1.0111539;-79.4645798;30.951461571
faltante.txt;-1.0111394;-79.4645267;30.806432071
faltante.txt;-1.011125;-79.4644735;30.658103482
faltante.txt;-1.0111105;-79.4644204;30.506486804
faltante.txt;-1.0110961;-79.4643672;30.351593036
faltante.txt;-1.0110816;-79.4643141;30.193433179
faltante.txt;-1.0110672;-79.4642609;30.032018232
faltante.txt;-1.0110527;-79.4642078;29.867359196
faltante.txt;-1.0110383;-79.4641546;29.699467071
faltante.txt;-1.0110238;-79.4641015;29.528352857
faltante.txt;-1.0110094;-79.4640483;29.354027554
faltante.txt;-1.0130488;-79.4681849;26.65133775
datos_combinados.csv;-1.0130488;-79.4681849;26.65133775
datos_combinados.csv;-1.0130326;-79.4681462;23.930329821
datos_combinados.csv;-1.0129943;-79.4681132;22.234004161
datos_combinados.csv;-1.012963;-79.4680856;25.979625321
datos_combinados.csv;-1.0129568;-79.4680493;26.374905375
datos_combinados.csv;-1.0129324;-79.4680094;28.134049518
datos_combinados.csv;-1.0128916;-79.4679778;28.042880518
datos_combinados.csv;-1.0128724;-79.467969;29.356248857
datos_combinados.csv;-1.012861;-79.4679346;28.748566982
datos_combinados.csv;-1.0128184;-79.4679273;24.982173839
datos_combinados.csv;-1.0127819;-79.4679161;25.549090321
datos_combinados.csv;-1.0127511;-79.4678915;27.929096607
datos_combinados.csv;-1.0127263;-79.4678685;30.403881357
datos_combinados.csv;-1.0126844;-79.4678459;31.932583196
datos_combinados.csv;-1.0126722;-79.4678217;36.103274054
datos_combinados.csv;-1.0126609;-79.4677942;32.207269857
datos_combinados.csv;-1.0126526;-79.4677699;11.739562554
datos_combinados.csv;-1.0126582;-79.4677221;33.791430518
datos_combinados.csv;-1.0126683;-79.467674;35.833497571
datos_combinados.csv;-1.0126851;-79.46764;33.754389143
datos_combinados.csv;-1.0126991;-79.4675951;28.218109071
datos_combinados.csv;-1.012703;-79.4675478;28.509032071
datos_combinados.csv;-1.0127137;-79.4675028;34.481801607
datos_combinados.csv;-1.0127023;-79.4674715;38.301506554
datos_combinados.csv;-1.0127077;-79.4674261;31.662827125
datos_combinados.csv;-1.0127172;-79.4673784;26.997294964
datos_combinados.csv;-1.0126894;-79.4673364;35.331189625
datos_combinados.csv;-1.0126433;-79.4673246;33.482130661
datos_combinados.csv;-1.012599;-79.4673391;28.162213411
datos_combinados.csv;-1.0125826;-79.4673631;26.525090089
datos_combinados.csv;-1.0125806;-79.467395;27.069352857
datos_combinados.csv;-1.0125934;-79.4674487;27.995501036
datos_combinados.csv;-1.0126031;-79.4674902;29.313831232
datos_combinados.csv;-1.0126119;-79.4675269;30.747246286
datos_combinados.csv;-1.0125964;-79.4675662;32.842957696
datos_combinados.csv;-1.0126175;-79.4676096;32.529294089
datos_combinados.csv;-1.0126193;-79.4676471;32.018940321
datos_combinados.csv;-1.0125814;-79.4676872;30.88783225
datos_combinados.csv;-1.0125543;-79.4677268;30.825935125
datos_combinados.csv;-1.0125208;-79.4677638;30.491573964
datos_combinados.csv;-1.012495;-79.4678089;31.266663714
datos_combinados.csv;-1.0124858;-79.4678449;31.622301464
datos_combinados.csv;-1.0124853;-79.4678823;29.659172321
datos_combinados.csv;-1.012518;-79.4679476;28.421344679
datos_combinados.csv;-1.0125423;-79.4679943;25.268058875
datos_combinados.csv;-1.0125571;-79.4680337;25.102179339
datos_combinados.csv;-1.0125569;-79.4680774;26.886638536
datos_combinados.csv;-1.0125678;-79.4681232;28.287571554
datos_combinados.csv;-1.0125529;-79.4681674;29.531848821
datos_combinados.csv;-1.0125493;-79.4682077;29.865596196
datos_combinados.csv;-1.0125578;-79.4682014;29.914734018
datos_combinados.csv;-1.0125742;-79.4682129;33.331241161
datos_combinados.csv;-1.0125691;-79.4682117;32.448211893
datos_combinados.csv;-1.0125707;-79.4682089;32.139733768
datos_combinados.csv;-1.0125748;-79.4682153;32.085406321
datos_combinados.csv;-1.0125789;-79.4682366;31.530189429
datos_combinados.csv;-1.0125938;-79.4682999;30.638038929
datos_combinados.csv;-1.0125672;-79.4683516;29.186868179
datos_combinados.csv;-1.0125678;-79.4683968;28.356827214
datos_combinados.csv;-1.0125846;-79.4684436;30.047489214
datos_combinados.csv;-1.0125894;-79.4684923;31.175339839
datos_combinados.csv;-1.0125872;-79.4685423;31.712840607
datos_combinados.csv;-1.0125821;-79.4685827;31.782398321
datos_combinados.csv;-1.0125825;-79.4686249;31.572504518
datos_combinados.csv;-1.0125573;-79.4686559;31.278900643
datos_combinados.csv;-1.0125267;-79.4686519;31.476299786
datos_combinados.csv;-1.0124947;-79.4686885;31.772402982
datos_combinados.csv;-1.0124868;-79.4687332;31.777950304
datos_combinados.csv;-1.0124823;-79.4687805;31.775159393
datos_combinados.csv;-1.0124645;-79.4688304;32.011294125
datos_combinados.csv;-1.0124434;-79.4688763;31.932558036
datos_combinados.csv;-1.0124137;-79.4689173;31.792645518
datos_combinados.csv;-1.0124149;-79.4689752;31.412685268
datos_combinados.csv;-1.0124025;-79.469011;31.649737214
datos_combinados.csv;-1.0123916;-79.4690443;31.779847071
datos_combinados.csv;-1.01241;-79.4690812;31.891419875
datos_combinados.csv;-1.0124164;-79.4691235;31.882722804
datos_combinados.csv;-1.0124078;-79.4691773;31.811330411
datos_combinados.csv;-1.0124306;-79.4692231;31.792648232
datos_combinados.csv;-1.0124122;-79.4692698;31.587945446
datos_combinados.csv;-1.0123967;-79.4693055;31.765870393
datos_combinados.csv;-1.0123955;-79.4693429;31.592778036
datos_combinados.csv;-1.0123763;-79.4693868;31.270264054
datos_combinados.csv;-1.0123895;-79.469432;30.913560875
datos_combinados.csv;-1.0123982;-79.4694786;30.905123357
datos_combinados.csv;-1.0123836;-79.4695218;30.983001821
datos_combinados.csv;-1.0123724;-79.4695623;31.123529821
datos_combinados.csv;-1.0123818;-79.469587;31.3815055
datos_combinados.csv;-1.012388;-79.4695978;30.805388714
datos_combinados.csv;-1.012396;-79.4695944;31.340659714
datos_combinados.csv;-1.0123959;-79.4695783;31.090628393
datos_combinados.csv;-1.0124001;-79.4695563;30.702468518
datos_combinados.csv;-1.0123988;-79.4695524;31.458417482
datos_combinados.csv;-1.012404;-79.4695552;30.843143643
datos_combinados.csv;-1.0124041;-79.4695582;30.76248175
datos_combinados.csv;-1.0124071;-79.469561;30.042425768
datos_combinados.csv;-1.0124117;-79.4695495;29.456594464
datos_combinados.csv;-1.0124042;-79.4695686;29.842413696
datos_combinados.csv;-1.0124038;-79.4695606;30.333736304
datos_combinados.csv;-1.0124025;-79.4695589;32.033421518
datos_combinados.csv;-1.0124081;-79.469556;30.512437429
datos_combinados.csv;-1.0124172;-79.4695539;26.513373071
datos_combinados.csv;-1.0124064;-79.4695574;27.835799429
datos_combinados.csv;-1.0123634;-79.4695569;29.718771304
datos_combinados.csv;-1.0122976;-79.4695661;30.265114804
datos_combinados.csv;-1.0122865;-79.4695716;28.542439232
datos_combinados.csv;-1.0123293;-79.4695756;22.73771225
datos_combinados.csv;-1.0123225;-79.469572;23.048079893
datos_combinados.csv;-1.0123163;-79.4695988;22.852796786
datos_combinados.csv;-1.0123193;-79.4696547;22.493741304
datos_combinados.csv;-1.0123458;-79.4697217;24.466563089
datos_combinados.csv;-1.0123378;-79.4697679;24.883145821
datos_combinados.csv;-1.0123652;-79.4698097;23.470564
datos_combinados.csv;-1.0123947;-79.4698473;23.360951
datos_combinados.csv;-1.0124216;-79.4698946;22.794879768
datos_combinados.csv;-1.0124141;-79.4699505;21.963392946
datos_combinados.csv;-1.0123928;-79.4700248;22.464634643
datos_combinados.csv;-1.0123824;-79.470072;23.031348411
datos_combinados.csv;-1.0123849;-79.4701048;23.045544714
datos_combinados.csv;-1.0123968;-79.470135;23.161030107
datos_combinados.csv;-1.0124062;-79.4701744;22.896175518
datos_combinados.csv;-1.0123978;-79.4702227;22.706084625
datos_combinados.csv;-1.0123894;-79.4702641;22.961658643
datos_combinados.csv;-1.0123959;-79.4703;23.299208054
datos_combinados.csv;-1.0123948;-79.470336;22.913707143
datos_combinados.csv;-1.0123898;-79.4703676;23.315411161
datos_combinados.csv;-1.0123709;-79.4704145;22.748274
datos_combinados.csv;-1.012366;-79.4704609;22.834332875
datos_combinados.csv;-1.01237;-79.4705001;23.535920429
datos_combinados.csv;-1.0123942;-79.4705609;23.334048054
datos_combinados.csv;-1.0124027;-79.4706006;23.498058821
datos_combinados.csv;-1.0123753;-79.4706475;23.46484425
datos_combinados.csv;-1.0123639;-79.4706919;22.689425161
datos_combinados.csv;-1.0123721;-79.4707358;23.165043393
datos_combinados.csv;-1.0123871;-79.4707756;22.646266643
datos_combinados.csv;-1.0124043;-79.4708181;23.135161875
datos_combinados.csv;-1.012415;-79.4708679;23.016557143
datos_combinados.csv;-1.0124066;-79.4708826;22.955972214
datos_combinados.csv;-1.0124177;-79.4709356;22.811286232
datos_combinados.csv;-1.012418;-79.4709786;23.302732268
datos_combinados.csv;-1.0124116;-79.4710442;22.830700857
datos_combinados.csv;-1.0123972;-79.4710889;23.116915143
datos_combinados.csv;-1.0123882;-79.4711365;22.154196089
datos_combinados.csv;-1.0123875;-79.4711824;21.306907304
datos_combinados.csv;-1.012372;-79.4712155;22.151910179
datos_combinados.csv;-1.0123603;-79.4712214;22.167030661
datos_combinados.csv;-1.0123547;-79.4712353;22.439843982
datos_combinados.csv;-1.0123322;-79.4712676;22.195754839
datos_combinados.csv;-1.012339;-79.4712766;21.825668661
datos_combinados.csv;-1.0123401;-79.4713237;22.094374304
datos_combinados.csv;-1.0123376;-79.4713737;22.513870036
datos_combinados.csv;-1.0123289;-79.4714051;22.283489304
datos_combinados.csv;-1.0123244;-79.4714668;21.482188
datos_combinados.csv;-1.0123498;-79.4715164;22.164414393
datos_combinados.csv;-1.0123772;-79.4715334;23.010113357
datos_combinados.csv;-1.0124037;-79.4715449;23.278180482
datos_combinados.csv;-1.0123524;-79.471576;23.148248429
datos_combinados.csv;-1.0124074;-79.4715644;23.173323304
datos_combinados.csv;-1.0124813;-79.4715468;22.633145911
datos_combinados.csv;-1.0125414;-79.4715324;22.972379286
datos_combinados.csv;-1.0125723;-79.4715098;23.295388536
datos_combinados.csv;-1.0125837;-79.4714686;22.774614839
datos_combinados.csv;-1.0125954;-79.4714337;22.48340575
datos_combinados.csv;-1.0126604;-79.471484;22.524776661
datos_combinados.csv;-1.0127046;-79.4714316;22.231890536
datos_combinados.csv;-1.0127059;-79.4713983;22.147313143
datos_combinados.csv;-1.0127187;-79.4713564;22.484007232
datos_combinados.csv;-1.0127054;-79.4712998;22.229579321
datos_combinados.csv;-1.0127013;-79.4712496;22.746149339
datos_combinados.csv;-1.0126135;-79.4712097;22.877725179
datos_combinados.csv;-1.0125496;-79.4711926;23.039686393
datos_combinados.csv;-1.0125029;-79.4711555;23.127863125
datos_combinados.csv;-1.0124902;-79.4710801;23.006578054
datos_combinados.csv;-1.0124864;-79.4710257;22.629980875
datos_combinados.csv;-1.0124847;-79.4709727;22.027880304
datos_combinados.csv;-1.0124887;-79.4709256;21.7464665
datos_combinados.csv;-1.0125096;-79.4708904;21.574794714
datos_combinados.csv;-1.0125611;-79.4708925;22.024941518
datos_combinados.csv;-1.0126531;-79.4709358;22.981281054
datos_combinados.csv;-1.0126899;-79.4709493;23.393089625
datos_combinados.csv;-1.0127269;-79.470954;23.574359893
datos_combinados.csv;-1.0127542;-79.4710182;23.93666
datos_combinados.csv;-1.0127864;-79.471012;24.440960893
datos_combinados.csv;-1.0128218;-79.4710197;23.148622446
datos_combinados.csv;-1.0128134;-79.4709092;21.851427804
datos_combinados.csv;-1.0128109;-79.4708583;22.002839357
datos_combinados.csv;-1.0128003;-79.470817;21.727157911
datos_combinados.csv;-1.0127889;-79.4707944;22.351174411
datos_combinados.csv;-1.0127634;-79.4707726;22.723346804
datos_combinados.csv;-1.0127715;-79.4707863;23.589386536
datos_combinados.csv;-1.0127712;-79.4707835;24.214212536
datos_combinados.csv;-1.0127776;-79.4707902;24.205566161
datos_combinados.csv;-1.0127982;-79.4708182;23.211906768
datos_combinados.csv;-1.0127983;-79.4708183;23.156925089
datos_combinados.csv;-1.0127983;-79.4708183;23.255247375
datos_combinados.csv;-1.0128399;-79.4707999;23.225673464
datos_combinados.csv;-1.0128432;-79.4707984;23.160661911
datos_combinados.csv;-1.0128433;-79.4707983;21.464901304
datos_combinados.csv;-1.0128433;-79.4707983;21.143827071
datos_combinados.csv;-1.0128433;-79.4707983;22.133290732
