Años_Experiencia,Salario_Anual
28.6,110248.31
6.1,41052.88
14.6,69481.57
8.4,57629.1
23.2,113631.53
26.2,91446.38
0.8,49641.07
21.9,82402.78
7.7,70822.66
12.9,60017.18
13.4,61874.79
9.0,52178.52
0.8,37684.62
3.4,43320.79
17.1,69453.92
2.4,30875.64
11.9,70397.77
14.0,69229.41
10.5,81822.98
21.3,94877.91
10.0,60801.77
22.7,87567.52
27.8,92328.41
18.3,77662.6
21.2,83413.59
23.5,78108.61
24.2,107286.65
19.0,83583.99
8.9,59280.88
21.3,78230.67
10.9,54470.83
20.4,84623.76
26.3,101551.78
29.7,110627.68
10.6,52103.55
15.6,77681.46
25.5,98182.07
4.3,35588.3
8.6,60546.38
10.3,60896.46
28.4,115068.74
6.8,49831.9
1.5,39686.77
6.2,30133.18
26.4,98008.6
15.3,79393.18
5.3,47517.42
20.3,71196.2
19.8,89145.83
13.2,79075.25
15.9,73337.95
28.3,122864.53
8.8,63227.73
16.1,80215.33
21.6,82578.22
18.9,86432.53
24.7,93146.48
28.6,109675.42
24.6,94303.39
28.6,101435.42
22.0,80842.08
17.8,74050.19
2.7,48189.68
25.4,87910.65
1.8,29163.96
3.8,29810.04
15.4,73258.31
23.8,92653.5
29.6,100260.59
14.1,76787.05
8.3,65864.41
20.8,79017.11
27.6,107307.89
15.6,77801.05
1.5,40822.71
27.3,107320.14
24.8,98792.45
20.6,92561.33
24.7,112382.97
1.1,27194.99
6.1,48729.38
9.1,50467.83
11.5,69496.06
9.1,68959.7
27.6,104854.8
8.8,54486.98
26.0,105462.73
24.6,99613.54
2.0,33018.34
21.3,101264.57
6.5,49429.62
25.0,98774.29
18.1,87610.86
21.1,92807.83
24.8,95821.77
27.6,108101.71
13.1,63828.25
19.5,90447.59
25.2,102204.53
20.3,83290.3
12.3,64279.09
22.8,95975.8
10.9,59474.95
20.0,89860.62
4.3,45119.88
10.7,55740.22
14.3,75515.34
10.6,63461.99
18.7,79787.03
6.4,46308.1
0.3,28160.14
15.4,90936.42
0.6,24547.76
25.3,89702.13
9.6,70743.5
24.4,84313.7
15.2,67932.07
3.6,36562.72
19.8,94126.41
10.4,63394.46
15.9,77470.79
26.0,96135.71
11.1,54547.34
23.3,77821.68
17.8,72938.27
14.0,64692.66
6.4,51818.93
23.7,104213.67
26.6,82302.97
19.9,79880.46
26.2,92156.77
11.7,64957.32
12.5,65261.28
7.3,56847.6
21.3,90974.04
22.7,89011.45
3.3,43171.83
27.1,97388.66
20.0,78761.0
10.4,60587.17
19.2,69864.63
13.8,83962.74
21.6,91709.72
0.3,27896.78
11.1,54484.18
5.3,45491.05
4.5,39314.14
26.4,94809.07
9.5,56176.07
22.1,75611.33
27.2,109508.28
1.8,36670.79
9.2,44288.29
13.0,75417.41
5.1,61934.82
19.3,83759.75
24.3,90492.59
7.4,52675.54
21.9,94808.45
18.0,82396.27
8.5,45229.91
27.5,108982.41
8.3,45026.7
26.6,82483.5
6.3,53215.33
7.4,41361.31
10.2,66601.17
25.9,93054.26
21.6,85423.86
28.6,101364.23
0.5,25350.37
25.2,106611.08
28.5,106794.21
2.9,30808.59
5.5,46392.91
25.8,107921.31
20.2,84827.95
7.4,47928.54
14.1,63713.35
21.0,79247.89
24.3,93621.03
25.7,92992.87
27.5,88740.07
27.5,103812.9
18.7,82978.38
29.2,114539.13
7.0,43847.17
13.2,67629.21
3.0,35684.16
12.4,81357.23
13.5,72841.42
6.9,58637.68
15.6,81722.53
16.8,67712.13
2.8,35050.85
24.5,79951.29
19.9,79873.1
0.8,31788.01
28.0,119001.39
25.1,100290.16
15.9,70180.18
12.7,66410.17
20.4,80584.25
10.5,68932.93
29.1,116790.75
11.2,52471.19
24.0,97190.79
7.1,55215.08
17.7,72188.31
12.9,67929.28
14.1,82002.59
16.5,73351.17
17.1,56867.39
16.3,68392.34
14.0,64168.34
1.2,37658.42
17.5,86701.11
6.5,43902.56
24.7,110056.95
26.7,93444.53
5.1,45366.58
29.9,96703.26
25.7,98098.91
10.6,67885.95
12.5,78644.69
4.5,66141.59
24.2,99713.49
0.1,32148.18
9.2,56726.63
8.6,55576.09
17.2,77529.99
6.3,66384.22
23.0,90983.27
22.1,95241.27
22.3,92632.96
0.4,41789.53
28.5,106723.07
2.7,43795.44
10.9,60920.38
11.8,70956.61
5.5,44848.01
18.5,87897.25
4.7,42932.6
10.8,64757.43
16.4,86841.87
8.5,73592.17
24.3,80270.09
8.5,59727.83
28.8,107708.11
10.1,65345.57
8.9,55486.64
25.9,91098.5
10.5,63744.91
11.2,50613.37
28.9,108798.2
13.4,56971.21
23.4,89325.48
20.0,77132.65
20.7,85525.92
9.3,67877.53
22.0,88724.17
11.0,70450.39
29.0,100875.66
12.4,65543.13
10.2,51098.11
27.5,102768.68
26.2,98232.99
25.4,90728.79
9.0,47047.97
9.0,53749.45
17.2,79290.93
6.8,50467.08
8.9,62014.64
1.1,25699.01
13.6,75818.32
20.9,89764.36
12.7,70059.35
11.7,76513.69
6.7,49335.49
19.3,77917.0
3.4,44244.14
28.0,102666.03
17.0,97314.7
24.7,95680.23
28.6,109612.14
29.4,108713.98
1.5,42516.03
9.3,60500.1
18.8,74778.37
23.6,89690.03
11.0,53768.44
24.8,82811.77
23.6,101582.36
23.0,101110.6
12.4,80641.87
11.3,49277.17
18.0,70288.12
14.5,58832.15
28.6,116078.0
3.4,35880.43
12.9,70047.92
15.2,68076.83
27.2,88121.4
7.7,57734.9
3.5,45043.73
20.5,91452.99
7.1,50358.11
8.8,60412.86
12.1,69209.58
4.2,63011.48
6.5,37602.86
19.6,81019.89
15.9,75241.52
21.7,77357.63
16.5,65296.96
7.9,64036.27
2.8,33997.14
2.3,35607.44
4.8,43469.01
3.3,45309.15
9.1,60872.27
13.3,77673.17
13.4,70874.85
13.4,69028.65
30.0,111674.62
8.6,54549.29
23.5,85962.1
24.0,88988.16
16.1,68125.57
15.3,69590.78
22.0,91995.71
4.4,36151.01
9.6,61825.08
17.1,86670.47
7.4,58385.49
7.1,41172.23
2.7,53001.24
5.6,56193.79
9.1,62184.01
18.2,81499.56
10.8,63867.94
20.9,92387.93
12.2,62271.48
9.5,51296.82
13.8,68223.88
2.8,40420.77
1.0,35058.7
29.2,111235.86
9.8,54703.91
0.5,39664.84
11.1,56633.73
13.6,72176.5
22.7,85980.25
4.6,37715.26
2.4,45349.57
13.7,71649.05
23.3,113453.58
19.5,69655.34
8.0,68776.68
1.6,36661.64
13.3,68391.8
13.6,58726.43
11.3,63384.35
5.0,48420.64
8.7,55290.94
20.1,85362.11
21.3,76705.71
1.6,40724.41
15.4,76797.79
5.7,50598.96
11.5,69196.6
22.7,89350.76
7.9,43600.31
8.9,69971.81
10.5,54188.15
9.6,59493.67
11.5,60104.17
8.7,61594.55
5.4,30647.14
15.0,63060.17
22.8,98870.53
29.5,110736.35
12.8,64997.81
6.2,53442.52
24.8,99606.7
12.3,61998.79
19.0,85569.57
3.6,49247.66
19.0,80993.03
28.3,106967.62
24.1,107244.17
18.1,75871.6
8.4,59120.12
12.7,68438.38
1.4,34983.11
8.2,53309.29
6.3,49889.91
1.9,34146.1
5.1,52816.56
3.3,36460.09
10.9,50781.01
15.9,78124.35
14.4,73749.88
6.7,64392.65
27.5,111102.05
9.3,59425.93
28.9,111849.66
14.9,72028.39
0.9,45905.67
13.6,69636.04
2.1,38164.25
2.7,51887.42
22.6,96317.5
12.3,60861.08
28.6,104239.2
6.7,59820.03
2.4,40920.23
13.7,62332.59
1.7,37527.36
9.4,60395.21
1.2,38042.23
10.0,63684.21
15.2,51423.79
2.4,37732.04
10.7,63843.92
7.3,63325.79
12.8,60427.42
7.0,53359.07
13.4,74303.38
16.7,79449.41
9.8,65830.81
10.0,62463.51
2.5,53016.31
23.1,87904.63
16.7,74569.37
14.0,69373.18
6.1,71855.06
5.0,50639.95
13.4,57261.17
8.2,56206.72
11.7,65788.06
20.2,62925.6
1.9,39135.4
25.6,90144.2
16.4,82316.71
21.8,99032.33
22.4,89209.99
22.9,87421.48
5.8,47368.38
9.2,67077.04
20.4,89618.0
12.7,75939.93
14.8,66000.74
10.6,54908.73
13.6,79739.42
17.2,80766.14
16.1,74066.12
4.2,50165.22
18.7,87161.96
2.8,46417.33
28.1,96827.17
11.3,71083.17
8.0,57049.06
25.2,89378.02
12.5,69298.25
7.9,54365.91
7.4,58763.62
19.1,76817.83
26.5,101671.74
7.4,56405.23
10.5,62851.07
22.3,79867.08
6.1,40272.43
11.9,58939.64
11.8,72248.16
6.8,51924.14
14.2,50499.83
0.7,23878.03
27.0,105883.8
7.7,50592.0
21.8,93326.38
0.6,39600.02
4.4,48290.95
11.8,65095.65
21.5,89027.07
28.7,105852.09
7.2,51176.46
17.0,75455.53
6.2,58102.63
21.1,88443.03
26.3,106057.73
18.1,77413.08
22.2,86266.5
7.6,70880.39
28.1,90776.22
1.4,47716.24
6.9,48939.5
14.8,72011.71
1.6,36542.97
16.0,77024.86
22.5,97798.66
15.0,62338.3
13.6,63115.89
10.3,60869.02
27.0,104797.14
27.0,100615.7
12.4,63929.46
5.1,38769.63
6.6,57506.83
17.9,86316.11
11.6,63685.34
22.2,88948.26
12.1,60617.05
13.3,81259.87
10.0,68563.12
0.6,43770.65
18.7,74963.7
7.5,49077.92
26.1,97353.71
23.1,78792.73
7.7,53907.83
15.3,66299.22
17.2,83504.05
20.3,92646.12
29.4,91810.83
5.7,56629.58
1.1,33370.35
8.2,58068.28
2.9,50377.83
10.1,48721.08
3.0,46220.02
2.6,38986.21
12.6,65403.95
7.7,49643.66
23.1,100080.72
21.5,104714.79
7.0,36810.35
2.1,39417.74
27.7,106948.22
27.0,95007.71
6.8,54764.54
27.2,105658.45
27.4,117497.63
0.5,32579.95
30.0,114584.97
28.8,111300.34
29.6,108199.98
24.5,98346.17
7.7,51142.6
6.0,56478.36
25.5,92761.92
11.9,59779.07
28.2,117640.83
18.2,69113.56
1.5,30485.44
19.1,69431.82
24.8,96403.55
1.7,29134.71
20.4,86717.63
6.4,31469.7
0.9,35930.78
2.8,26521.56
28.4,119426.69
24.8,107652.52
24.4,90388.93
21.4,96076.02
28.0,109614.61
0.6,35229.51
9.1,57783.18
1.1,39419.8
26.7,113984.99
13.0,72106.33
14.4,62632.36
19.7,78979.22
2.7,46597.3
10.8,69809.89
16.2,73032.58
1.2,38110.81
11.2,65601.28
13.0,62349.41
15.8,74507.91
11.1,59794.83
25.4,88531.6
0.5,29133.96
3.6,42150.89
11.6,53122.82
18.0,72012.9
2.8,31025.54
12.6,57228.57
0.7,35735.52
6.3,47158.57
7.3,45352.02
27.9,116725.51
14.2,70422.03
8.8,64690.64
4.6,40579.08
10.8,49091.36
21.8,75604.74
13.0,66544.9
26.8,95892.09
13.9,81395.49
20.3,91140.43
10.7,63082.1
6.9,39586.86
28.7,95089.58
19.2,86229.03
21.9,85041.68
17.9,84852.23
6.9,42394.13
0.4,29189.62
8.8,54353.24
16.5,68736.43
20.5,97924.12
17.9,80650.26
9.9,67843.99
28.1,113517.2
22.2,97323.66
25.0,103557.48
10.6,62382.12
14.6,61774.68
0.4,19110.94
20.3,84458.4
13.7,72501.68
7.7,53536.17
20.3,80591.86
25.9,106845.99
17.8,76561.54
3.1,22666.68
22.6,84724.6
28.1,117434.17
15.3,66653.96
15.5,82820.85
25.2,99751.17
10.6,54971.91
19.3,89302.55
17.3,82239.16
0.2,32100.18
16.9,68461.72
7.1,60631.27
27.5,118597.87
27.5,92157.12
10.9,64771.01
28.4,105773.06
22.9,86003.06
6.8,32497.56
20.0,95087.46
12.2,56885.38
10.8,68231.21
25.0,90730.19
20.8,90255.59
25.0,106192.06
29.1,109280.29
23.6,94990.02
7.4,65426.41
24.1,96660.57
12.4,62859.55
6.8,54059.9
23.1,95969.61
0.5,34134.24
3.1,38639.43
11.7,52965.11
26.9,93181.49
11.0,54165.16
5.3,56513.37
0.8,26370.12
29.4,110308.98
12.8,62195.48
25.5,81279.32
2.6,33478.45
26.8,99821.67
20.3,85845.07
28.5,94659.75
5.5,48599.99
13.5,66006.62
10.3,61899.74
13.6,88763.42
14.0,68204.18
5.1,48267.09
22.6,94540.73
26.8,108104.42
10.5,68261.07
7.9,52888.39
15.3,79201.78
24.5,104044.5
22.0,93422.3
25.6,83783.46
4.5,44983.08
22.9,91259.47
20.3,78863.66
23.4,93474.93
20.2,92858.11
7.0,47977.01
17.4,83666.11
5.7,54128.39
1.5,20961.53
20.0,80376.1
18.2,81117.07
24.4,111454.04
25.6,107622.51
2.3,40035.91
18.0,76859.94
27.1,114198.0
21.9,89757.23
21.2,84264.88
23.6,83279.83
29.1,118437.45
23.8,94802.88
5.3,55102.92
11.0,56595.17
19.3,79515.53
12.2,62345.72
10.0,65705.29
21.4,94604.1
27.7,115213.33
5.6,61162.98
23.5,88115.6
29.4,109816.31
21.5,75453.55
28.2,100296.28
5.4,47892.16
13.2,75881.62
0.8,35684.26
16.3,78452.79
21.6,82581.98
26.2,81122.87
18.5,75905.44
13.8,53758.19
18.8,67602.49
10.0,48052.79
29.8,96485.1
16.3,70984.28
26.1,99379.4
21.2,81957.33
15.9,71787.13
17.4,79267.21
1.0,55575.18
4.4,46011.95
10.0,55527.78
24.5,90038.7
15.5,87290.89
4.6,54760.17
17.4,70822.35
13.2,71883.77
9.4,66761.33
12.4,63986.27
15.3,78836.59
25.8,90319.91
17.8,99911.53
28.1,110694.12
18.7,68719.72
13.3,70488.41
16.3,70656.66
19.8,92265.08
4.8,51806.48
20.8,79896.67
6.5,49637.38
19.6,77170.07
10.3,68304.89
25.4,104134.39
11.6,52712.12
18.9,80210.91
19.3,83347.78
22.1,91995.86
20.0,65869.94
8.2,53052.83
0.4,32360.86
25.5,91298.11
17.0,71422.44
3.0,47330.34
28.8,110431.37
6.8,39545.2
18.6,89160.97
4.9,57371.01
15.0,64586.46
27.6,99586.25
29.6,99341.59
21.1,90018.24
8.2,62497.29
25.8,107269.71
19.0,80808.79
10.3,62967.12
9.6,48732.82
10.2,65628.53
15.3,71259.02
3.2,45603.61
27.8,100823.61
6.8,58640.0
13.1,87740.98
27.6,106917.79
8.3,50500.49
4.1,46941.72
6.3,62138.56
16.0,65841.09
15.0,61182.99
21.4,98127.09
16.8,81986.58
12.4,67449.24
14.8,69342.78
27.4,103324.1
29.6,93060.96
11.2,65664.02
13.2,64728.28
24.1,93753.04
20.3,100720.81
27.3,86610.07
10.3,63135.96
22.2,97691.37
23.4,94249.79
11.1,54080.87
1.2,37741.49
24.1,109993.54
10.8,62196.99
7.9,52235.95
29.2,106018.69
29.6,113639.9
19.6,77435.4
3.4,52368.39
27.1,96840.35
12.8,68992.64
7.9,55240.66
27.1,107650.15
12.6,56144.47
0.7,21125.97
15.9,73689.82
14.0,66532.21
14.1,66913.94
13.0,71863.94
6.1,43883.71
22.6,95489.12
26.3,99996.3
16.1,73081.05
21.8,93056.07
24.1,92197.85
0.1,57411.67
21.7,102177.88
6.6,38772.53
25.9,94984.72
7.3,55005.28
15.2,74697.32
2.9,53928.29
14.4,60249.21
23.1,105510.43
19.9,80285.57
13.2,69774.18
28.5,111638.11
27.5,91921.24
18.5,94602.6
1.0,27083.98
5.9,41274.08
24.8,85975.3
25.3,106654.13
29.3,93473.11
14.3,62454.67
15.1,72651.02
29.2,105899.44
11.1,78331.61
13.8,62769.85
1.5,34900.98
2.8,35030.28
2.3,27279.89
18.1,88681.84
12.5,69314.58
18.2,58720.59
29.1,115302.44
25.4,112671.55
17.8,85539.78
10.6,71066.37
4.1,53307.8
16.5,74585.32
8.1,63457.16
22.5,90864.17
11.9,76781.01
13.6,58240.62
5.8,60943.22
4.9,54042.45
2.1,31105.25
20.4,90786.58
11.1,62942.38
7.7,56683.85
2.4,35347.03
25.7,104755.86
21.0,83429.09
3.2,42207.56
16.2,71427.2
27.6,106775.29
18.5,91067.38
8.7,46981.82
0.8,42767.02
19.4,88349.23
11.7,66297.03
11.6,70101.38
26.9,99599.63
25.0,101687.51
5.2,52452.56
1.9,50542.53
6.4,40007.61
14.7,62827.42
21.0,87104.62
29.1,110005.08
9.5,60272.04
12.5,68442.88
22.8,95525.37
14.0,76004.76
25.2,84483.61
26.4,100880.8
6.8,60666.66
20.1,79643.25
18.0,64160.5
21.2,101731.02
7.8,55292.88
7.8,56900.94
5.6,45836.3
2.7,41127.51
15.1,75720.19
20.5,88463.68
15.8,78183.65
26.0,102088.38
21.9,72557.1
4.8,40897.65
15.2,69024.11
28.1,92811.97
6.8,53236.35
0.1,27523.77
19.9,71728.81
29.2,96337.42
12.7,61159.43
22.7,81433.85
6.9,43899.99
27.8,110662.62
26.8,86911.73
15.7,77211.03
5.6,42196.8
0.9,35634.34
16.4,81724.48
6.2,47356.95
8.2,59594.08
19.5,78950.3
18.5,91418.28
21.2,94925.47
1.2,43154.2
17.2,57470.36
13.2,47271.5
23.8,86935.06
5.9,54379.94
3.5,44916.92
13.1,62412.18
13.0,64433.38
5.4,39168.35
14.6,54556.1
18.0,78857.74
6.6,60927.99
2.0,45627.86
5.9,48886.78
7.4,46186.21
5.1,42782.67
1.6,33316.73
3.7,38138.28
28.2,106177.64
21.5,82695.94
16.1,79780.14
12.0,76203.3
18.0,72076.02
9.1,65579.21
20.9,87848.25
9.7,50601.78
9.5,72135.74
29.1,94377.71
20.8,91146.03
22.9,90943.0
3.6,42645.95
13.1,72899.34
20.2,80283.4
2.7,33267.81
21.8,87949.75
15.4,74895.28
21.3,89413.84
17.7,77857.05
20.3,83648.31
25.1,96974.56
27.7,111262.4
19.1,81960.34
21.5,90551.92
8.3,49550.47
27.6,113516.76
5.2,42948.41
21.1,92518.47
27.8,95434.33
28.1,109479.97
5.3,50864.65
16.1,74284.38
24.0,94994.97
13.8,61852.98
19.9,93483.52
2.5,40103.81
2.8,44920.55
25.6,101518.07
8.3,56145.64
6.3,57531.3
13.2,55113.05
6.2,38702.06
20.5,89383.93
20.9,90562.93
29.6,115654.36
16.0,74563.04
21.7,94905.92
15.9,74804.11
21.0,87618.08
1.9,28331.91
15.6,85490.83
22.1,90743.1
6.8,32448.88
27.9,100138.46
10.5,60769.94
3.1,37214.19
26.9,100859.87
6.2,43930.01
6.5,62823.73
29.6,116151.36
10.9,65900.94
24.7,91279.62
18.5,76616.34
1.0,47083.92
22.9,91165.74
14.3,60025.13
10.1,59510.51
15.8,65717.33
23.1,78528.78
7.4,54923.03
29.6,120638.27
17.3,93941.54
14.6,71817.54
1.6,43030.15
13.9,53883.48
15.1,67860.57
11.8,57755.36
23.9,102073.7
25.8,103882.69
5.3,43513.9
9.7,60190.7
18.1,67813.48
2.0,44503.48
21.2,88014.62
12.6,60419.44
1.3,57285.07
28.4,111320.05
10.6,58642.26
25.3,103718.42
29.5,107297.21
26.9,114680.86
7.0,63614.01
12.9,78493.03
14.5,74987.64
21.8,80719.86
29.3,104480.35
8.7,53567.21
18.0,84866.17
17.4,69309.36
20.6,82285.13
17.8,89261.63
5.6,48205.83
9.6,58930.27
28.5,98312.18
20.7,90573.15
19.8,95600.97
23.3,101255.68
12.6,66262.08
13.8,53263.87
4.5,62577.76
16.9,93366.53
21.9,89153.82
16.4,69763.39
4.7,48112.63
13.2,58014.52
0.6,36130.13
24.3,80829.23
0.8,38383.92
29.0,113086.95
5.2,38503.09
27.9,99313.22
25.3,92243.2
16.4,60619.54
25.7,86645.52
22.2,77516.18
10.7,69323.69
4.1,41904.25
15.9,83427.4
18.5,83490.7
28.6,111211.7
15.0,62287.0
0.9,36590.9
22.5,90730.91
16.1,78517.54
22.0,98213.95
23.2,90661.17
1.4,32504.55
12.2,68906.98
29.6,102753.79
21.8,88682.06
22.0,77709.44
9.0,61865.5
18.6,71565.48
21.9,87545.34
25.5,106856.11
21.7,83712.47
23.1,86661.48
28.5,93055.19
12.0,72984.31
19.8,77208.43
6.7,37722.07
0.4,27626.82
26.1,101510.47
19.2,72806.85
8.9,47562.33
29.3,115697.22
0.2,43673.74
24.0,87319.4
15.5,65433.91
